"Order ID","Order Date","Seller","Base Currency","Shipping","Insurance","Add Chrg 1","Add Chrg 2","Credit","Coupon Credit","Order Total","Tax","Base Grand Total","Total Lots","Total Items","Order Status","Order Status Changed","Pmt In","Pmt Method","Order Note","Tracking No","Location","Batch","Batch Date","Condition","Item Description","Qty","Each","Total","Item Type","Item Number","Weight","Inv ID","Sub-Condition"
"28632477","6/18/2025","ModernoBricks","USD","$5.99","","","","","","$8.91","$0.00","$14.90","1","9","Completed","6/27/2025","USD","PayPal (Onsite)","","9400136106193352806661","USA, New Jersey","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","White Hips and Legs with Tan Sash and Knee Wrap, Robe Ends with Medium Azure Trim Pattern ","9","$0.99","$8.91","Part","970c00pb1314","1.21","300083938",""
"28632468","6/18/2025","MidwestBrick","USD","$4.99","","","","","","$9.27","$0.00","$14.26","4","32","Completed","6/27/2025","USD","PayPal (Onsite)","","9400150105501021274913","USA, Wisconsin","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Albus Dumbledore - Dark Red Robe, Light Bluish Gray Hair ","2","$3.49","$6.98","Minifigure","hp147","4.2","333539220",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Light Bluish Gray Dish 2 x 2 Inverted (Radar) ","10","$0.035","$0.35","Part","4740","0.28","117306695",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Medium Nougat Torso Female Jacket Open with 3 Buttons over Sand Blue Shirt, Yellow Neck Pattern / Medium Nougat Arms / Yellow Hands ","2","$0.744","$1.488","Part","973pb3164c01","1.31","186478086",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Trans-Clear Slope 30 1 x 1 x 2/3 ","18","$0.025","$0.45","Part","54200","0.21","308750973",""
"28632461","6/18/2025","jbucy","USD","$5.25","","$1.00","","","","$6.79","$0.00","$13.04","3","16","Completed","6/27/2025","USD","PayPal (Onsite)","","9400136106193352956991","USA, Ohio","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Black Minifigure, Utensil Camera Handheld Style with Extended Bar Handle ","3","$0.09","$0.27","Part","30089b","0.44","452236372",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Medium Nougat Torso Female Jacket Open with 3 Buttons over Sand Blue Shirt, Yellow Neck Pattern / Medium Nougat Arms / Yellow Hands ","5","$1.16","$5.80","Part","973pb3164c01","1.31","432112218",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Trans-Light Blue Wave Angular Single with Bar End &#40;Lightning Bolt&#41; ","8","$0.09","$0.72","Part","27256","0.2","408118089",""
"28632456","6/18/2025","Adam8215","USD","$7.59","","","","","","$5.00","$0.00","$12.59","1","1","Completed","6/29/2025","USD","PayPal (Onsite)","","","USA, California","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Mummy - NON-Glow In Dark Pattern ","1","$5.00","$5.00","Minifigure","mof001a","3","419446788",""
"28632446","6/18/2025","FLUSH2020","USD","$5.49","","$3.00","","","","$5.00","$0.00","$13.49","4","14","Completed","6/27/2025","USD","PayPal (Onsite)","","","USA, New Jersey","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Black Minifigure, Utensil Camera Handheld Style with Extended Bar Handle ","2","$0.0935","$0.187","Part","30089b","0.44","348354237",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Light Bluish Gray Minifigure, Utensil Tool Sledgehammer &#40;Mjolnir, Hammer&#41; ","5","$0.1785","$0.8925","Part","75904","0.64","440705332",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Medium Nougat Torso Female Jacket Open with 3 Buttons over Sand Blue Shirt, Yellow Neck Pattern / Medium Nougat Arms / Yellow Hands ","3","$0.9435","$2.8305","Part","973pb3164c01","1.31","377741189",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Reddish Brown Minifigure, Utensil Bag Messenger Pouch ","4","$0.272","$1.088","Part","61976","0.25","350492112",""
"28632439","6/18/2025","fabrick8er","USD","$5.00","","","","","","$3.29","$0.00","$8.29","5","26","Completed","6/27/2025","USD","PayPal (Onsite)","","9400150105501022178531","USA, California","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Black Bar   1L with Clip Mechanical Claw - Cut Edges and Hole on Side ","10","$0.027","$0.27","Part","48729b","0.17","175398534",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Light Bluish Gray Brick, Round 2 x 2 Dome Top ","7","$0.063","$0.441","Part","553","0.83","238684176",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Light Bluish Gray Minifigure, Utensil Tool Sledgehammer &#40;Mjolnir, Hammer&#41; ","5","$0.18","$0.90","Part","75904","0.64","267158395",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Medium Nougat Torso Female Jacket Open with 3 Buttons over Sand Blue Shirt, Yellow Neck Pattern / Medium Nougat Arms / Yellow Hands ","2","$0.81","$1.62","Part","973pb3164c01","1.31","228677045",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Trans-Clear Slope 30 1 x 1 x 2/3 ","2","$0.0288","$0.0576","Part","54200","0.21","107818205",""
"28632436","6/18/2025","Deciphured","USD","$10.00","","$3.04","","","","$6.90","$0.00","$19.94","8","67","Completed","6/27/2025","USD","PayPal (Onsite)","","","USA, Illinois","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Black Minifigure, Utensil Camera Handheld Style with Extended Bar Handle ","1","$0.05","$0.05","Part","30089b","0.44","476445587",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Black Minifigure, Weapon Gun, Blaster SW Small with Scope ","10","$0.11","$1.10","Part","92738","0.23","415891779",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Black Plate 1 x 2 ","20","$0.04","$0.80","Part","3023","0.36","474186835",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Dark Brown Minifigure, Weapon Lightsaber Hilt Straight ","10","$0.05","$0.50","Part","64567","0.19","415891812",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Flat Silver Minifigure, Weapon Pike / Spear - Handle with Flat End ","10","$0.12","$1.20","Part","93789","0.4","439955537",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Light Bluish Gray Brick, Round 2 x 2 Dome Top ","3","$0.05","$0.15","Part","553","0.83","457323758",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Light Bluish Gray Tile, Round 1 x 1 with Bar and Pin Holder ","10","$0.04","$0.40","Part","20482","0.16","415891857",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Medium Nougat Torso Female Jacket Open with 3 Buttons over Sand Blue Shirt, Yellow Neck Pattern / Medium Nougat Arms / Yellow Hands ","3","$0.90","$2.70","Part","973pb3164c01","1.31","439344535",""
"28632420","6/18/2025","cvillebricks","USD","$5.00","","","","","","$79.30","$0.00","$84.30","12","123","Completed","6/27/2025","USD","PayPal (Onsite)","","9400150105501018932338","USA, Florida","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Golden Minifigure Key Chain &#40;Chrome Gold&#41; ","1","$6.00","$6.00","Gear","852688","11","476567734",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","The Mandalorian / Din Djarin / 'Mando' - Silver Beskar Armor, Cape ","10","$5.76","$57.60","Minifigure","sw1135","3.78","232473405",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Black Brick, Round  1 x 1 ","20","$0.0522","$1.044","Part","3062","0.28","303383158",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Black Minifigure, Utensil Camera Handheld Style with Extended Bar Handle ","14","$0.075","$1.05","Part","30089b","0.44","445994207",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Dark Tan Minifigure, Utensil Wand, 2 on Sprue ","10","$0.0819","$0.819","Part","36752","0.24","183511390",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Medium Azure Minifigure, Weapon Sword, Shamshir / Katana &#40;Square Guard&#41; with Capped Pommel and Holes in Crossguard and Blade ","10","$0.1089","$1.089","Part","21459","0.21","242480803",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Pearl Gold Minifigure, Weapon Sword, Shamshir / Katana &#40;Square Guard&#41; with Capped Pommel and Holes in Crossguard and Blade ","20","$0.0416","$0.832","Part","21459","0.21","175672232",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Reddish Brown Minifigure, Utensil Bag Messenger Pouch ","13","$0.2448","$3.1824","Part","61976","0.25","193693004",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Sand Blue Hips  and Legs Plain ","1","$0.6374","$0.6374","Part","970c00","1.18","480013652",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Trans-Light Blue Plate, Round 1 x 1 with Open Stud ","2","$0.0378","$0.0756","Part","85861","0.1","179816631",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Trans-Light Blue Wave Angular Single with Bar End &#40;Lightning Bolt&#41; ","2","$0.0757","$0.1514","Part","27256","0.2","345617398",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Yellow Minifigure, Head Dual Sided Female Reddish Brown Eyebrows, Nougat Freckles and Lips, Small Smirk / Left Eye Squinted Pattern ","20","$0.3411","$6.822","Part","3626pb2145","0.55","226611021",""
"28632416","6/18/2025","mikebrizzee","USD","$5.15","","","","","","$2.25","$0.00","$7.40","2","3","Completed","7/7/2025","USD","PayPal (Onsite)","","9400150206217139211181","USA, Texas","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","White Hips and Legs with Tan Sash and Knee Wrap, Robe Ends with Medium Azure Trim Pattern ","1","$0.551","$0.551","Part","970c00pb1314","1.21","306747059",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","White Torso Tunic, Flat Silver Robot Chest, Medium Azure Diamond Trim and Core Logo on Back Pattern / Flat Silver Arms / Dark Bluish Gray Hands ","2","$0.848","$1.696","Part","973pb4547c01","1.32","306747062",""
"28632412","6/18/2025","Brixalotl","USD","$4.85","","","","","","$24.70","$0.00","$29.55","4","46","Completed","6/27/2025","USD","PayPal (Onsite)","","9400136106193352678718","USA, Pennsylvania","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Dark Brown Minifigure, Hair Female Ponytail Long French Braided ","10","$0.72","$7.20","Part","88286","0.81","480206716",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Pearl Dark Gray Minifigure Armor Shoulder Pad with Debossed Shuriken Throwing Star and Scabbard for 1 Katana ","10","$0.42","$4.20","Part","41162","0.3","449462013",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Sand Blue Hips  and Legs Plain ","16","$0.65","$10.40","Part","970c00","1.18","480403699",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Trans-Dark Pink Minifigure, Weapon Sword, Shamshir / Katana &#40;Square Guard&#41; with Capped Pommel and Holes in Crossguard and Blade ","10","$0.29","$2.90","Part","21459","0.21","449308999",""
"28632407","6/18/2025","bigasbricks","USD","$5.00","","","","","","$129.50","$0.00","$134.50","5","50","Completed","6/27/2025","USD","PayPal (Onsite)","","9400150206217134726161","USA, Michigan","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Kai - Legacy, Rebooted Robe ","10","$3.25","$32.50","Minifigure","njo0630","4.06","233571783",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","col19 Rugby Player, Series 19 &#40;Complete Set with Stand and Accessories&#41; Opened to verify contents. Resealed in Ziploc bag. No original foil wrapper.","10","$5.00","$50.00","Set","col19-13","9.54","181042711","Complete"
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Thor - Spongy Cape, Pearl Dark Gray Legs ","10","$3.95","$39.50","Minifigure","sh0623","3.77","198870134",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Flat Silver Minifigure, Head Alien Robot with Black Eyebrows, Metallic Light Blue Eyes, Cheek Lines, Angry Bared Teeth, Vents and Silver Circle on Back Pattern ","10","$0.35","$3.50","Part","3626pb2029","0.55","314246726",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","White Minifigure, Headgear Ninjago Wrap Type 4 with Molded Medium Azure Headband  Pattern ","10","$0.40","$4.00","Part","40925pb17","0.86","314246728",""
"28632406","6/18/2025","bbb_brick_store","USD","$5.50","","","","","","$37.66","$0.00","$43.16","2","9","Completed","6/27/2025","USD","PayPal (Onsite)","","9400136106193353156130","USA, Ohio","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","Medium Nougat Torso Female Jacket Open with 3 Buttons over Sand Blue Shirt, Yellow Neck Pattern / Medium Nougat Arms / Yellow Hands ","5","$4.94","$24.70","Part","973pb3164c01","1.31","330628237",""
"","","","","","","","","","","","","","","","","","","","","","","1","6/18/2025","New","White Torso Tunic, Flat Silver Robot Chest, Medium Azure Diamond Trim and Core Logo on Back Pattern / Flat Silver Arms / Dark Bluish Gray Hands ","4","$3.24","$12.96","Part","973pb4547c01","1.32","301243615",""
"28494943","6/1/2025","TBD_BRICKS","USD","$5.00","","","","","","$25.00","$0.00","$30.00","1","1","Completed","6/9/2025","USD","PayPal (Onsite)","","9400111206217829620348","USA, Florida","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","6/1/2025","New","911719 Kanan Jarrus foil pack ","1","$25.00","$25.00","Set","911719-1","5.5","478566450","Sealed"
"28488554","5/31/2025","TBD_BRICKS","USD","$5.00","","","","","","$125.00","$0.00","$130.00","1","5","Completed","6/9/2025","USD","PayPal (Onsite)","","9400111206217829620348","USA, Florida","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","911719 Kanan Jarrus foil pack ","5","$25.00","$125.00","Set","911719-1","5.5","417013625","Sealed"
"28488551","5/31/2025","TedNFlitsBricks","USD","$4.95","","","","","","$40.36","$0.00","$45.31","12","55","Completed","7/23/2025","USD","PayPal (Onsite)","","9400111206217824556192","USA, Wisconsin","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Olaf - Mini Doll Body, Medium Blue Mouth ","5","$3.59","$17.95","Minifigure","dp138","2.87","463230338",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","col19 Rugby Player, Series 19 &#40;Complete Set with Stand and Accessories&#41; Opened to Verify Contents and then put directly back into orignal packaging and resealed","5","$3.92","$19.60","Set","col19-13","9.54","394162916",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Black Brick, Round  1 x 1 ","5","$0.05","$0.25","Part","3062","0.28","388209164",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Black Minifigure, Utensil Camera Handheld Style with Extended Bar Handle ","5","$0.06","$0.30","Part","30089b","0.44","388211973",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Flat Silver Minifigure, Weapon Shuriken Throwing Star with Textured Grips, 2 on Sprue ","5","$0.06","$0.30","Part","19807","0.35","388214553",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Flat Silver Minifigure, Weapon Sword, Saber / Dao Curved Blade and Hilt with Bar End ","5","$0.17","$0.85","Part","25111","0.23","455949597",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Light Bluish Gray Plate, Round 2 x 2 Thin with Wheel Holder ","8","$0.02","$0.16","Part","2655","0.43","388211304",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Trans-Clear Rock 1 x 1 Jewel 24 Facet ","1","$0.07","$0.07","Part","30153","0.22","464701670",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Trans-Dark Blue Rock 1 x 1 Jewel 24 Facet ","5","$0.06","$0.30","Part","30153","0.22","388209529",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Trans-Dark Pink Rock 1 x 1 Jewel 24 Facet ","5","$0.05","$0.25","Part","30153","0.22","388215300",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Trans-Red Rock 1 x 1 Jewel 24 Facet ","1","$0.03","$0.03","Part","30153","0.22","392334435",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Yellow Minifigure, Utensil Flotation Ring &#40;Life Preserver&#41; ","5","$0.06","$0.30","Part","30340","0.54","388213027",""
"28488545","5/31/2025","BrickFanatic72","USD","$4.29","","","","","","$26.93","$0.00","$31.22","9","38","Completed","6/9/2025","USD","PayPal (Onsite)","","9400136106193330823369","USA, North Carolina","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Kai - Legacy, Rebooted Robe ","2","$2.4262","$4.8524","Minifigure","njo0630","4.06","423721326",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Wither Skeleton - Straight Arms ","5","$3.7576","$18.788","Minifigure","min025","2.67","432615041",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Blue Slope 30 1 x 1 x 2/3 ","7","$0.0313","$0.2191","Part","54200","0.21","401196834",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Dark Bluish Gray Minifigure, Weapon Sword Pixelated &#40;Minecraft&#41; ","5","$0.4289","$2.1445","Part","18787","0.33","432615083",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Trans-Clear Rock 1 x 1 Jewel 24 Facet ","4","$0.0696","$0.2784","Part","30153","0.22","468789451",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Trans-Clear Tile, Round 1 x 1 ","5","$0.027","$0.135","Part","98138","0.11","401199569",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Trans-Green Rock 1 x 1 Jewel 24 Facet ","3","$0.0827","$0.2481","Part","30153","0.22","404549256",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Trans-Light Blue Rock 1 x 1 Jewel 24 Facet ","5","$0.0426","$0.213","Part","30153","0.22","468789453",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Trans-Red Rock 1 x 1 Jewel 24 Facet ","2","$0.0278","$0.0556","Part","30153","0.22","455867594",""
"28488538","5/31/2025","MAKsToys","USD","$5.25","","","","","","$43.92","$0.00","$49.17","2","8","Completed","6/10/2025","USD","PayPal (Onsite)","","9400111206217828937546","USA, West Virginia","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Clone Trooper Commander &#40;Phase 1&#41; - Bright Light Orange Arms, Nougat Head Comes with medium black blaster.","5","$6.99","$34.95","Minifigure","sw1146","4","316798882",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Kai - Legacy, Rebooted Robe ","3","$2.99","$8.97","Minifigure","njo0630","4.06","259377668",""
"28488529","5/31/2025","LifeInPieces","USD","$5.85","","","","","","$20.40","$0.00","$26.25","2","6","Completed","6/10/2025","USD","PayPal (Onsite)","","9400136106193334938366","USA, New York","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Lloyd - Legacy, Sons of Garmadon Robe Never Assembled","5","$3.994","$19.97","Minifigure","njo0514","3.8","312183132",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Black Minifigure, Weapon Gun, Blaster SW Standard ","1","$0.434","$0.434","Part","58247","0.34","201417889",""
"28488525","5/31/2025","recordmogul","USD","$4.75","","","","","","$29.97","$0.00","$34.72","1","5","Completed","6/9/2025","USD","PayPal (Onsite)","","9400111206217824890173","USA, California","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Zane - Legacy ","5","$5.994","$29.97","Minifigure","njo0494","3.88","162962311",""
"28488523","5/31/2025","BrickVibe","USD","$4.39","","$1.50","","","","$38.12","$0.00","$44.01","3","14","Completed","6/10/2025","USD","PayPal (Onsite)","","9300110571812632361294 ","USA, Wisconsin","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Baby - White Body with Yellow Hands, Head with Neck no neck","5","$4.344","$21.72","Minifigure","njo0446","0.68","462541671",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Nature Photographer - Female, Medium Nougat Jacket, Sand Blue Legs, Dark Brown Hair Ponytail Long French Braided ","4","$3.994","$15.976","Minifigure","cty0921","4.05","464207773",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","Used","Blue Bracket 3 x 2 - 2 x 2 Inverted &#40;Space Seat&#41; ","5","$0.084","$0.42","Part","4598","1.87","470784062",""
"28488513","5/31/2025","BlainesWorld","USD","$4.50","","$0.85","","","","$42.67","$0.00","$48.02","9","57","Completed","6/9/2025","USD","PayPal (Onsite)","","9400136106193330765935","USA, Florida","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Ahsoka Tano &#40;Adult&#41; - Dark Blue Jumpsuit ","5","$7.85","$39.25","Minifigure","sw1096","4.7","477774981",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Black Plate 1 x 2 ","5","$0.04","$0.20","Part","3023","0.36","475334466",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Blue Plate, Modified 1 x 2 with Bar Handle on Side - Closed Ends ","5","$0.0297","$0.1485","Part","48336","0.54","162289717",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Blue Slope 30 1 x 2 x 2/3 ","5","$0.0297","$0.1485","Part","85984","0.35","218773933",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Light Bluish Gray Plate, Round 2 x 2 Thin with Wheel Holder ","2","$0.0198","$0.0396","Part","2655","0.43","138275605",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Metallic Silver Minifigure, Weapon Lightsaber Hilt Straight ","10","$0.13","$1.30","Part","64567","0.19","477892880",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Pearl Gold Minifigure, Weapon Sword, Shamshir / Katana &#40;Square Guard&#41; with Capped Pommel and Holes in Crossguard and Blade ","10","$0.0297","$0.297","Part","21459","0.21","289695422",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Reddish Brown Minifigure, Utensil Bag Messenger Pouch ","5","$0.1782","$0.891","Part","61976","0.25","452822640",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Trans-Light Blue Bar   4L &#40;Lightsaber Blade / Wand&#41; ","10","$0.0396","$0.396","Part","30374","0.3","144595414",""
"28488495","5/31/2025","Aquabot","USD","$5.15","","$1.00","","","","$26.09","$0.00","$32.24","9","39","Completed","6/9/2025","USD","PayPal (Onsite)","","9400136106193331121679","USA, Texas","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Nature Photographer - Female, Medium Nougat Jacket, Sand Blue Legs, Dark Brown Hair Ponytail Long French Braided ","1","$3.13","$3.13","Minifigure","cty0921","4.05","467758415",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Outrider - Extended Claws ","7","$2.94","$20.58","Minifigure","sh0561","5.98","467759541",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Black Minifigure, Weapon Gun, Blaster SW Standard ","4","$0.34","$1.36","Part","58247","0.34","467743087",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Black Wheel Skateboard / Trolley ","10","$0.0296","$0.296","Part","2496","0.3","467722196",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Blue Slope 30 1 x 1 x 2/3 ","3","$0.0296","$0.0888","Part","54200","0.21","477319324",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Trans-Clear Slope 30 1 x 1 x 2/3 ","5","$0.0296","$0.148","Part","54200","0.21","475141459",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Trans-Green Rock 1 x 1 Jewel 24 Facet ","2","$0.0814","$0.1628","Part","30153","0.22","477319298",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Trans-Red Rock 1 x 1 Jewel 24 Facet ","2","$0.0148","$0.0296","Part","30153","0.22","477319236",""
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Trans-Yellow Rock 1 x 1 Jewel 24 Facet ","5","$0.0592","$0.296","Part","30153","0.22","467740917",""
"28488487","5/31/2025","2LC_Warehouse","USD","$5.49","","","","","","$54.45","$0.00","$59.94","1","5","Completed","6/9/2025","USD","PayPal (Onsite)","","","USA, Maryland","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","5/31/2025","New","Sonic the Hedgehog - Light Nougat Face and Arms, Grin to Right Unassembled","5","$10.89","$54.45","Minifigure","idea104","6","436814211",""
